date,amzn,amzn_volume,amzn_change_pct
2018-04-18,76.39,"104,550,000",1.60%
2018-04-19,77.85,"130,470,000",1.91%
2018-04-20,76.37,"110,830,000",-1.90%
2018-04-23,75.89,"89,310,000",-0.63%
2018-04-24,73,"149,890,000",-3.81%
2018-04-25,73.01,"131,750,000",0.01%
2018-04-26,75.9,"176,020,000",3.96%
2018-04-27,78.63,"261,060,000",3.60%
2018-04-30,78.31,"109,280,000",-0.41%
2018-05-01,79.11,"91,440,000",1.02%
2018-05-02,78.48,"87,210,000",-0.80%
2018-05-03,78.6,"85,040,000",0.15%
2018-05-04,79.05,"68,870,000",0.57%
2018-05-07,80.01,"76,040,000",1.21%
2018-05-08,79.62,"61,360,000",-0.49%
2018-05-09,80.4,"72,750,000",0.98%
2018-05-10,80.45,"56,350,000",0.06%
2018-05-11,80.15,"45,280,000",-0.37%
2018-05-14,80.08,"50,190,000",-0.09%
2018-05-15,78.81,"101,550,000",-1.59%
2018-05-16,79.36,"51,410,000",0.70%
2018-05-17,79.09,"42,950,000",-0.34%
2018-05-18,78.72,"52,850,000",-0.47%
2018-05-21,79.27,"58,500,000",0.70%
2018-05-22,79.07,"42,310,000",-0.25%
2018-05-23,80.09,"67,240,000",1.29%
2018-05-24,80.15,"68,600,000",0.07%
2018-05-25,80.51,"53,970,000",0.45%
2018-05-29,80.64,"76,930,000",0.16%
2018-05-30,81.24,"58,150,000",0.74%
2018-05-31,81.48,"63,330,000",0.30%
2018-06-01,82.08,"66,270,000",0.74%
2018-06-04,83.26,"63,750,000",1.44%
2018-06-05,84.82,"95,640,000",1.87%
2018-06-06,84.79,"109,460,000",-0.04%
2018-06-07,84.47,"75,310,000",-0.38%
2018-06-08,84.2,"59,100,000",-0.32%
2018-06-11,84.46,"46,710,000",0.31%
2018-06-12,84.94,"45,180,000",0.57%
2018-06-13,85.24,"66,550,000",0.35%
2018-06-14,86.19,"63,490,000",1.11%
2018-06-15,85.8,"95,550,000",-0.45%
2018-06-18,86.19,"62,150,000",0.45%
2018-06-19,86.74,"85,800,000",0.64%
2018-06-20,87.5,"86,650,000",0.88%
2018-06-21,86.51,"98,820,000",-1.13%
2018-06-22,85.78,"81,500,000",-0.84%
2018-06-25,83.16,"150,220,000",-3.05%
2018-06-26,84.55,"87,730,000",1.67%
2018-06-27,83.03,"97,440,000",-1.80%
2018-06-28,85.07,"90,590,000",2.46%
2018-06-29,84.99,"90,870,000",-0.09%
2018-07-02,85.69,"63,710,000",0.82%
2018-07-03,84.7,"43,550,000",-1.16%
2018-07-05,84.99,"59,660,000",0.34%
2018-07-06,85.53,"53,010,000",0.64%
2018-07-09,86.95,"60,240,000",1.66%
2018-07-10,87.15,"60,060,000",0.23%
2018-07-11,87.75,"64,200,000",0.69%
2018-07-12,89.83,"90,650,000",2.37%
2018-07-13,90.65,"87,730,000",0.91%
2018-07-16,91.12,"109,320,000",0.52%
2018-07-17,92.2,"113,660,000",1.19%
2018-07-18,92.15,"97,240,000",-0.05%
2018-07-19,90.65,"93,540,000",-1.63%
2018-07-20,90.69,"77,830,000",0.04%
2018-07-23,90.1,"77,770,000",-0.65%
2018-07-24,91.46,"85,570,000",1.51%
2018-07-25,93.18,"76,730,000",1.88%
2018-07-26,90.4,"198,490,000",-2.98%
2018-07-27,90.86,"193,620,000",0.51%
2018-07-30,88.96,"131,250,000",-2.09%
2018-07-31,88.87,"114,770,000",-0.10%
2018-08-01,89.86,"83,060,000",1.11%
2018-08-02,91.72,"87,090,000",2.07%
2018-08-03,91.16,"69,210,000",-0.61%
2018-08-06,92.39,"67,840,000",1.35%
2018-08-07,93.12,"67,550,000",0.79%
2018-08-08,94.33,"79,260,000",1.30%
2018-08-09,94.93,"97,210,000",0.64%
2018-08-10,94.31,"72,800,000",-0.65%
2018-08-13,94.81,"110,630,000",0.53%
2018-08-14,95.98,"79,720,000",1.23%
2018-08-15,94.13,"154,010,000",-1.93%
2018-08-16,94.33,"79,140,000",0.21%
2018-08-17,94.11,"82,090,000",-0.23%
2018-08-20,93.84,"57,240,000",-0.29%
2018-08-21,94.17,"62,110,000",0.35%
2018-08-22,95.25,"61,610,000",1.15%
2018-08-23,95.14,"71,260,000",-0.12%
2018-08-24,95.27,"56,020,000",0.14%
2018-08-27,96.38,"71,380,000",1.17%
2018-08-28,96.64,"62,010,000",0.27%
2018-08-29,99.91,"130,640,000",3.38%
2018-08-30,100.12,"145,550,000",0.21%
2018-08-31,100.64,"84,090,000",0.52%
2018-09-04,101.98,"114,420,000",1.33%
2018-09-05,99.74,"164,410,000",-2.20%
2018-09-06,97.92,"149,770,000",-1.82%
2018-09-07,97.6,"97,850,000",-0.33%
2018-09-10,96.95,"90,900,000",-0.67%
2018-09-11,99.36,"100,670,000",2.49%
2018-09-12,99.5,"88,280,000",0.14%
2018-09-13,99.49,"72,430,000",-0.01%
2018-09-14,98.51,"72,840,000",-0.99%
2018-09-17,95.4,"141,000,000",-3.16%
2018-09-18,97.05,"85,370,000",1.73%
2018-09-19,96.32,"81,140,000",-0.75%
2018-09-20,97.22,"63,100,000",0.93%
2018-09-21,95.75,"137,120,000",-1.51%
2018-09-24,96.72,"84,270,000",1.01%
2018-09-25,98.73,"90,770,000",2.08%
2018-09-26,98.74,"86,270,000",0.01%
2018-09-27,100.65,"86,590,000",1.93%
2018-09-28,100.15,"81,700,000",-0.50%
2018-10-01,100.22,"69,370,000",0.07%
2018-10-02,98.57,"108,010,000",-1.65%
2018-10-03,97.64,"105,060,000",-0.94%
2018-10-04,95.47,"145,140,000",-2.22%
2018-10-05,94.48,"136,450,000",-1.04%
2018-10-08,93.22,"147,860,000",-1.33%
2018-10-09,93.52,"95,460,000",0.32%
2018-10-10,87.76,"219,780,000",-6.16%
2018-10-11,85.97,"278,720,000",-2.04%
2018-10-12,89.43,"188,890,000",4.02%
2018-10-15,88.05,"128,740,000",-1.54%
2018-10-16,91,"117,200,000",3.35%
2018-10-17,91.59,"105,900,000",0.65%
2018-10-18,88.54,"117,480,000",-3.33%
2018-10-19,88.2,"118,140,000",-0.38%
2018-10-22,89.47,"90,000,000",1.44%
2018-10-23,88.44,"134,480,000",-1.15%
2018-10-24,83.21,"138,570,000",-5.91%
2018-10-25,89.11,"205,710,000",7.09%
2018-10-26,82.14,"299,280,000",-7.82%
2018-10-29,76.94,"277,320,000",-6.33%
2018-10-30,76.52,"249,200,000",-0.55%
2018-10-31,79.9,"187,800,000",4.42%
2018-11-01,83.28,"162,710,000",4.23%
2018-11-02,83.28,"139,110,000",0.00%
2018-11-05,81.39,"112,490,000",-2.27%
2018-11-06,82.14,"85,150,000",0.92%
2018-11-07,87.77,"163,840,000",6.85%
2018-11-08,87.75,"130,700,000",-0.02%
2018-11-09,85.62,"118,040,000",-2.43%
2018-11-12,81.84,"136,120,000",-4.41%
2018-11-13,81.56,"118,670,000",-0.34%
2018-11-14,79.95,"129,740,000",-1.97%
2018-11-15,80.97,"168,550,000",1.28%
2018-11-16,79.67,"121,320,000",-1.61%
2018-11-19,75.61,"155,800,000",-5.10%
2018-11-20,74.77,"217,580,000",-1.11%
2018-11-21,75.84,"114,340,000",1.43%
2018-11-23,75.1,"54,150,000",-0.98%
2018-11-26,79.07,"125,150,000",5.29%
2018-11-27,79.07,"115,660,000",0.00%
2018-11-28,83.89,"169,170,000",6.10%
2018-11-29,83.68,"132,260,000",-0.25%
2018-11-30,84.51,"115,240,000",0.99%
2018-12-03,88.62,"137,240,000",4.86%
2018-12-04,83.42,"173,890,000",-5.87%
2018-12-06,84.96,"175,790,000",1.85%
2018-12-07,81.46,"151,520,000",-4.12%
2018-12-10,82.05,"149,900,000",0.72%
2018-12-11,82.16,"124,890,000",0.13%
2018-12-12,83.18,"131,960,000",1.24%
2018-12-13,82.92,"105,420,000",-0.31%
2018-12-14,79.6,"127,340,000",-4.00%
2018-12-17,76.05,"176,600,000",-4.46%
2018-12-18,77.57,"130,460,000",2.00%
2018-12-19,74.75,"175,840,000",-3.64%
2018-12-20,73.04,"199,840,000",-2.29%
2018-12-21,68.87,"272,810,000",-5.71%
2018-12-24,67.2,"144,400,000",-2.42%
2018-12-26,73.55,"208,240,000",9.45%
2018-12-27,73.08,"194,440,000",-0.64%
2018-12-28,73.9,"176,580,000",1.12%
2018-12-31,75.1,"139,090,000",1.62%
2019-01-02,76.96,"159,660,000",2.48%
2019-01-03,75.01,"139,510,000",-2.53%
2019-01-04,78.77,"183,650,000",5.01%
2019-01-07,81.48,"159,860,000",3.44%
2019-01-08,82.83,"177,630,000",1.66%
2019-01-09,82.97,"126,980,000",0.17%
2019-01-10,82.81,"130,150,000",-0.19%
2019-01-11,82.03,"93,720,000",-0.94%
2019-01-14,80.86,"120,120,000",-1.43%
2019-01-15,83.73,"119,970,000",3.55%
2019-01-16,84.19,"127,340,000",0.55%
2019-01-17,84.66,"84,180,000",0.56%
2019-01-18,84.81,"120,410,000",0.18%
2019-01-22,81.61,"128,340,000",-3.77%
2019-01-23,82,"104,500,000",0.48%
2019-01-24,82.75,"81,800,000",0.91%
2019-01-25,83.53,"99,190,000",0.94%
2019-01-28,81.89,"96,750,000",-1.96%
2019-01-29,79.69,"92,660,000",-2.69%
2019-01-30,83.52,"115,680,000",4.81%
2019-01-31,85.94,"218,210,000",2.90%
2019-02-01,81.31,"230,120,000",-5.39%
2019-02-04,81.67,"98,580,000",0.44%
2019-02-05,82.94,"89,060,000",1.56%
2019-02-06,82.01,"78,800,000",-1.12%
2019-02-07,80.72,"92,530,000",-1.57%
2019-02-08,79.41,"113,150,000",-1.62%
2019-02-11,79.55,"66,350,000",0.18%
2019-02-12,81.9,"97,170,000",2.95%
2019-02-13,82,"71,210,000",0.12%
2019-02-14,81.13,"82,410,000",-1.06%
2019-02-15,80.4,"86,880,000",-0.90%
2019-02-19,81.38,"73,630,000",1.22%
2019-02-20,81.11,"66,750,000",-0.33%
2019-02-21,80.97,"69,670,000",-0.17%
2019-02-22,81.58,"61,920,000",0.75%
2019-02-25,81.65,"63,690,000",0.09%
2019-02-26,81.82,"53,320,000",0.21%
2019-02-27,82.05,"62,980,000",0.28%
2019-02-28,81.99,"60,520,000",-0.07%
2019-03-01,83.59,"99,500,000",1.95%
2019-03-04,84.81,"123,350,000",1.46%
2019-03-05,84.62,"73,630,000",-0.22%
2019-03-06,83.45,"79,920,000",-1.38%
2019-03-07,81.3,"99,140,000",-2.58%
2019-03-08,81.04,"93,340,000",-0.32%
2019-03-11,83.53,"77,530,000",3.07%
2019-03-12,83.66,"72,290,000",0.16%
2019-03-13,84.54,"71,040,000",1.05%
2019-03-14,84.31,"58,930,000",-0.27%
2019-03-15,85.62,"151,020,000",1.55%
2019-03-18,87.11,"108,580,000",1.74%
2019-03-19,88.09,"127,280,000",1.13%
2019-03-20,89.86,"125,310,000",2.01%
2019-03-21,90.96,"115,360,000",1.22%
2019-03-22,88.24,"127,260,000",-2.99%
2019-03-25,88.71,"102,080,000",0.53%
2019-03-26,89.19,"97,320,000",0.54%
2019-03-27,88.28,"86,500,000",-1.02%
2019-03-28,88.67,"60,860,000",0.44%
2019-03-29,89.04,"66,420,000",0.42%
2019-04-01,90.71,"84,780,000",1.88%
2019-04-02,90.7,"68,960,000",-0.01%
2019-04-03,91.03,"79,610,000",0.36%
2019-04-04,90.94,"72,480,000",-0.10%
2019-04-05,91.86,"72,810,000",1.01%
2019-04-08,92.49,"75,060,000",0.69%
2019-04-09,91.79,"74,290,000",-0.76%
2019-04-10,92.37,"59,280,000",0.63%
2019-04-11,92.2,"53,100,000",-0.18%
2019-04-12,92.15,"62,290,000",-0.05%
2019-04-15,92.24,"74,490,000",0.10%
2019-04-16,93.15,"60,890,000",0.99%
2019-04-17,93.24,"57,870,000",0.10%
2019-04-18,93.08,"55,000,000",-0.17%
2019-04-22,94.37,"67,480,000",1.39%
2019-04-23,96.19,"92,810,000",1.93%
2019-04-24,95.09,"73,520,000",-1.14%
2019-04-25,95.11,"121,980,000",0.02%
2019-04-26,97.53,"168,650,000",2.54%
2019-04-29,96.92,"80,430,000",-0.63%
2019-04-30,96.33,"70,120,000",-0.61%
2019-05-01,95.58,"62,340,000",-0.78%
2019-05-02,95.04,"79,260,000",-0.56%
2019-05-03,98.12,"127,630,000",3.24%
2019-05-06,97.53,"108,360,000",-0.60%
2019-05-07,96.05,"118,040,000",-1.52%
2019-05-08,95.89,"81,570,000",-0.17%
2019-05-09,94.99,"106,170,000",-0.94%
2019-05-10,94.5,"114,360,000",-0.52%
2019-05-13,91.13,"115,670,000",-3.57%
2019-05-14,92.01,"92,580,000",0.97%
2019-05-15,93.56,"93,850,000",1.68%
2019-05-16,95.38,"94,160,000",1.95%
2019-05-17,93.45,"94,730,000",-2.02%
2019-05-20,92.95,"75,960,000",-0.54%
2019-05-21,92.88,"80,100,000",-0.08%
2019-05-22,92.98,"58,730,000",0.11%
2019-05-23,90.77,"88,490,000",-2.38%
2019-05-24,91.16,"67,390,000",0.43%
2019-05-28,91.82,"64,000,000",0.72%
2019-05-29,90.96,"85,580,000",-0.94%
2019-05-30,90.82,"62,940,000",-0.15%
2019-05-31,88.75,"92,380,000",-2.28%
2019-06-03,84.63,"181,970,000",-4.64%
2019-06-04,86.48,"113,580,000",2.19%
2019-06-05,86.92,"84,800,000",0.51%
2019-06-06,87.72,"73,790,000",0.92%
2019-06-07,90.2,"96,160,000",2.83%
2019-06-10,93.03,"107,420,000",3.14%
2019-06-11,93.19,"80,850,000",0.17%
2019-06-12,92.77,"53,570,000",-0.45%
2019-06-13,93.52,"55,920,000",0.81%
2019-06-14,93.48,"57,020,000",-0.04%
2019-06-17,94.3,"52,690,000",0.88%
2019-06-18,95.07,"77,910,000",0.82%
2019-06-19,95.44,"57,910,000",0.39%
2019-06-20,95.91,"64,340,000",0.49%
2019-06-21,95.56,"78,670,000",-0.36%
2019-06-24,95.69,"45,660,000",0.14%
2019-06-25,93.91,"60,250,000",-1.86%
2019-06-26,94.89,"48,840,000",1.04%
2019-06-27,95.21,"42,830,000",0.34%
2019-06-28,94.68,"60,750,000",-0.56%
2019-07-01,96.11,"64,070,000",1.51%
2019-07-02,96.72,"53,030,000",0.63%
2019-07-03,96.95,"33,810,000",0.24%
2019-07-05,97.15,"52,570,000",0.21%
2019-07-08,97.62,"57,670,000",0.48%
2019-07-09,99.42,"86,910,000",1.84%
2019-07-10,100.87,"98,640,000",1.46%
2019-07-11,100.05,"86,360,000",-0.81%
2019-07-12,100.55,"50,190,000",0.50%
2019-07-15,101.05,"59,630,000",0.50%
2019-07-16,100.5,"52,360,000",-0.54%
2019-07-17,99.6,"51,180,000",-0.90%
2019-07-18,98.89,"70,090,000",-0.71%
2019-07-19,98.23,"63,710,000",-0.67%
2019-07-22,99.28,"58,160,000",1.07%
2019-07-23,99.72,"54,070,000",0.44%
2019-07-24,100.04,"52,630,000",0.32%
2019-07-25,98.69,"82,730,000",-1.35%
2019-07-26,97.15,"98,540,000",-1.56%
2019-07-29,95.62,"89,860,000",-1.57%
2019-07-30,94.93,"58,220,000",-0.72%
2019-07-31,93.34,"89,410,000",-1.67%
2019-08-01,92.77,"94,270,000",-0.61%
2019-08-02,91.16,"99,120,000",-1.74%
2019-08-05,88.26,"121,160,000",-3.18%
2019-08-06,89.39,"101,410,000",1.28%
2019-08-07,89.67,"90,540,000",0.31%
2019-08-08,91.64,"74,020,000",2.20%
2019-08-09,90.38,"57,600,000",-1.37%
2019-08-12,89.25,"58,110,000",-1.25%
2019-08-13,91.22,"81,500,000",2.21%
2019-08-14,88.15,"97,870,000",-3.37%
2019-08-15,88.81,"76,200,000",0.75%
2019-08-16,89.63,"61,080,000",0.92%
2019-08-19,90.81,"56,410,000",1.32%
2019-08-20,90.07,"38,660,000",-0.81%
2019-08-21,91.18,"40,780,000",1.23%
2019-08-22,90.28,"53,170,000",-0.99%
2019-08-23,87.48,"105,560,000",-3.10%
2019-08-26,88.44,"61,710,000",1.10%
2019-08-27,88.09,"60,540,000",-0.40%
2019-08-28,88.21,"48,440,000",0.14%
2019-08-29,89.32,"60,360,000",1.26%
2019-08-30,88.81,"61,280,000",-0.57%
2019-09-03,89.49,"70,940,000",0.77%
2019-09-04,90.03,"46,520,000",0.60%
2019-09-05,92.04,"66,500,000",2.23%
2019-09-06,91.68,"49,940,000",-0.39%
2019-09-09,91.57,"59,990,000",-0.12%
2019-09-10,91.03,"52,280,000",-0.59%
2019-09-11,91.15,"48,660,000",0.13%
2019-09-12,92.18,"56,470,000",1.13%
2019-09-13,91.97,"39,430,000",-0.23%
2019-09-16,90.39,"73,510,000",-1.72%
2019-09-17,91.13,"40,660,000",0.82%
2019-09-18,90.87,"50,720,000",-0.29%
2019-09-19,91.08,"41,570,000",0.23%
2019-09-20,89.71,"111,120,000",-1.50%
2019-09-23,89.27,"62,780,000",-0.49%
2019-09-24,87.08,"92,760,000",-2.45%
2019-09-25,88.42,"70,620,000",1.54%
2019-09-26,86.99,"71,440,000",-1.62%
2019-09-27,86.27,"78,960,000",-0.83%
2019-09-30,86.8,"55,220,000",0.61%
2019-10-01,86.78,"63,410,000",-0.02%
2019-10-02,85.66,"66,770,000",-1.29%
2019-10-03,86.22,"72,490,000",0.65%
2019-10-04,86.98,"49,790,000",0.88%
2019-10-07,86.63,"43,750,000",-0.40%
2019-10-08,85.28,"52,540,000",-1.56%
2019-10-09,86.1,"41,790,000",0.96%
2019-10-10,86.01,"54,430,000",-0.10%
2019-10-11,86.6,"65,590,000",0.69%
2019-10-14,86.82,"38,580,000",0.25%
2019-10-15,88.37,"62,580,000",1.79%
2019-10-16,88.87,"56,080,000",0.57%
2019-10-17,89.37,"54,280,000",0.56%
2019-10-18,87.88,"67,320,000",-1.67%
2019-10-21,89.28,"44,500,000",1.59%
2019-10-22,88.29,"44,690,000",-1.11%
2019-10-23,88.11,"43,810,000",-0.20%
2019-10-24,89.04,"104,090,000",1.06%
2019-10-25,88.07,"192,530,000",-1.09%
2019-10-28,88.85,"74,180,000",0.89%
2019-10-29,88.14,"45,540,000",-0.80%
2019-10-30,89,"48,990,000",0.98%
2019-10-31,88.83,"55,620,000",-0.19%
2019-11-01,89.57,"55,810,000",0.83%
2019-11-04,90.23,"55,440,000",0.74%
2019-11-05,90.09,"37,710,000",-0.16%
2019-11-06,89.79,"40,600,000",-0.33%
2019-11-07,89.41,"53,020,000",-0.42%
2019-11-08,89.29,"42,520,000",-0.13%
2019-11-11,88.58,"38,960,000",-0.80%
2019-11-12,88.9,"40,780,000",0.36%
2019-11-13,87.66,"58,540,000",-1.39%
2019-11-14,87.73,"45,390,000",0.08%
2019-11-15,86.97,"78,620,000",-0.87%
2019-11-18,87.63,"56,840,000",0.76%
2019-11-19,87.64,"45,490,000",0.01%
2019-11-20,87.28,"55,880,000",-0.41%
2019-11-21,86.74,"53,260,000",-0.62%
2019-11-22,87.29,"49,580,000",0.63%
2019-11-25,88.69,"69,790,000",1.60%
2019-11-26,89.85,"63,810,000",1.31%
2019-11-27,90.93,"60,720,000",1.20%
2019-11-29,90.04,"38,470,000",-0.98%
2019-12-02,89.08,"78,640,000",-1.07%
2019-12-03,88.5,"70,590,000",-0.65%
2019-12-04,88.03,"53,610,000",-0.53%
2019-12-05,87.02,"56,560,000",-1.15%
2019-12-06,87.58,"62,400,000",0.64%
2019-12-09,87.48,"50,050,000",-0.11%
2019-12-10,86.96,"50,310,000",-0.59%
2019-12-11,87.44,"42,030,000",0.55%
2019-12-12,88.02,"62,080,000",0.66%
2019-12-13,88.05,"54,960,000",0.03%
2019-12-16,88.46,"62,990,000",0.47%
2019-12-17,89.53,"72,930,000",1.21%
2019-12-18,89.2,"67,080,000",-0.37%
2019-12-19,89.61,"54,770,000",0.46%
2019-12-20,89.33,"103,050,000",-0.31%
2019-12-23,89.65,"42,750,000",0.36%
2019-12-24,89.46,"17,630,000",-0.21%
2019-12-26,93.44,"120,490,000",4.45%
2019-12-27,93.49,"123,780,000",0.05%
2019-12-30,92.34,"73,550,000",-1.23%
2019-12-31,92.39,"50,210,000",0.05%
2020-01-02,94.9,"80,720,000",2.72%
2020-01-03,93.75,"75,330,000",-1.21%
2020-01-06,95.14,"81,310,000",1.48%
2020-01-07,95.34,"82,680,000",0.21%
2020-01-08,94.6,"70,240,000",-0.78%
2020-01-09,95.05,"63,500,000",0.48%
2020-01-10,94.16,"57,140,000",-0.94%
2020-01-13,94.56,"55,720,000",0.42%
2020-01-14,93.47,"68,930,000",-1.15%
2020-01-15,93.1,"57,930,000",-0.40%
2020-01-16,93.9,"53,190,000",0.86%
2020-01-17,93.24,"79,950,000",-0.70%
2020-01-21,94.6,"74,160,000",1.46%
2020-01-22,94.37,"64,330,000",-0.24%
2020-01-23,94.23,"49,690,000",-0.15%
2020-01-24,93.08,"75,320,000",-1.22%
2020-01-27,91.42,"70,570,000",-1.78%
2020-01-28,92.66,"56,160,000",1.36%
2020-01-29,92.9,"42,030,000",0.26%
2020-01-30,93.53,"126,550,000",0.68%
2020-01-31,100.44,"311,350,000",7.39%
2020-02-03,100.21,"117,980,000",-0.23%
2020-02-04,102.48,"105,790,000",2.27%
2020-02-05,101.99,"87,520,000",-0.48%
2020-02-06,102.51,"63,660,000",0.51%
2020-02-07,103.96,"101,910,000",1.41%
2020-02-10,106.7,"101,120,000",2.64%
2020-02-11,107.54,"114,920,000",0.79%
2020-02-12,108,"66,690,000",0.43%
2020-02-13,107.49,"60,640,000",-0.47%
2020-02-14,106.74,"52,120,000",-0.70%
2020-02-18,107.78,"59,020,000",0.97%
2020-02-19,108.51,"51,220,000",0.68%
2020-02-20,107.66,"62,630,000",-0.78%
2020-02-21,104.8,"93,010,000",-2.66%
2020-02-24,100.46,"130,940,000",-4.14%
2020-02-25,98.64,"124,380,000",-1.81%
2020-02-26,98.98,"104,810,000",0.34%
2020-02-27,94.22,"162,880,000",-4.81%
2020-02-28,94.19,"189,880,000",-0.03%
2020-03-02,97.7,"135,230,000",3.73%
2020-03-03,95.45,"150,690,000",-2.30%
2020-03-04,98.79,"95,460,000",3.50%
2020-03-05,96.2,"94,960,000",-2.62%
2020-03-06,95.05,"105,470,000",-1.20%
2020-03-09,90.03,"156,260,000",-5.28%
2020-03-10,94.59,"142,670,000",5.06%
2020-03-11,91.04,"112,940,000",-3.75%
2020-03-12,83.83,"226,920,000",-7.92%
2020-03-13,89.25,"176,190,000",6.47%
2020-03-16,84.46,"178,350,000",-5.37%
2020-03-17,90.39,"218,340,000",7.02%
2020-03-18,91.5,"192,900,000",1.23%
2020-03-19,94.05,"208,000,000",2.79%
2020-03-20,92.3,"196,360,000",-1.86%
2020-03-23,95.14,"156,170,000",3.08%
2020-03-24,97,"142,940,000",1.96%
2020-03-25,94.29,"129,580,000",-2.79%
2020-03-26,97.77,"124,700,000",3.69%
2020-03-27,95,"107,760,000",-2.83%
2020-03-30,98.2,"122,520,000",3.37%
2020-03-31,97.49,"102,470,000",-0.72%
2020-04-01,95.39,"82,440,000",-2.15%
2020-04-02,95.94,"86,720,000",0.58%
2020-04-03,95.33,"72,200,000",-0.64%
2020-04-06,99.88,"115,460,000",4.77%
2020-04-07,100.58,"102,280,000",0.70%
2020-04-08,102.15,"79,550,000",1.56%
2020-04-09,102.14,"93,110,000",-0.01%
2020-04-13,108.44,"134,330,000",6.17%
2020-04-14,114.17,"161,740,000",5.28%
2020-04-15,115.38,"137,330,000",1.06%
2020-04-16,120.41,"240,760,000",4.36%
2020-04-17,118.75,"158,600,000",-1.38%
2020-04-20,119.68,"115,410,000",0.78%
2020-04-21,116.41,"149,530,000",-2.73%
2020-04-22,118.17,"84,370,000",1.51%
2020-04-23,119.97,"101,330,000",1.52%
2020-04-24,120.51,"76,640,000",0.45%
2020-04-27,118.8,"112,910,000",-1.42%
2020-04-28,115.7,"105,390,000",-2.61%
2020-04-29,118.64,"91,830,000",2.54%
2020-04-30,123.7,"190,690,000",4.27%
2020-05-01,114.3,"195,450,000",-7.60%
2020-05-04,115.8,"97,320,000",1.31%
2020-05-05,115.89,"64,850,000",0.08%
2020-05-06,117.56,"62,360,000",1.44%
2020-05-07,118.38,"67,930,000",0.70%
2020-05-08,118.98,"64,220,000",0.51%
2020-05-11,120.45,"65,180,000",1.24%
2020-05-12,117.85,"61,500,000",-2.16%
2020-05-13,118.4,"95,660,000",0.47%
2020-05-14,119.44,"72,960,000",0.88%
2020-05-15,120.49,"84,700,000",0.88%
2020-05-18,121.31,"87,330,000",0.68%
2020-05-19,122.47,"86,410,000",0.96%
2020-05-20,124.9,"79,960,000",1.98%
2020-05-21,122.34,"102,290,000",-2.05%
2020-05-22,121.84,"57,340,000",-0.41%
2020-05-26,121.09,"71,360,000",-0.62%
2020-05-27,120.52,"101,140,000",-0.47%
2020-05-28,120.06,"63,860,000",-0.38%
2020-05-29,122.12,"70,590,000",1.72%
2020-06-01,123.55,"58,760,000",1.17%
2020-06-02,123.62,"50,600,000",0.06%
2020-06-03,123.92,"53,420,000",0.24%
2020-06-04,123.03,"58,970,000",-0.72%
2020-06-05,124.15,"66,130,000",0.91%
2020-06-08,126.2,"79,410,000",1.65%
2020-06-09,130.04,"103,520,000",3.04%
2020-06-10,132.37,"98,920,000",1.79%
2020-06-11,127.9,"116,000,000",-3.38%
2020-06-12,127.25,"108,720,000",-0.51%
2020-06-15,128.63,"77,470,000",1.08%
2020-06-16,130.76,"71,910,000",1.66%
2020-06-17,132.05,"59,190,000",0.99%
2020-06-18,132.7,"49,760,000",0.49%
2020-06-19,133.75,"115,540,000",0.79%
2020-06-22,135.69,"64,180,000",1.45%
2020-06-23,138.22,"84,630,000",1.86%
2020-06-24,136.72,"90,530,000",-1.09%
2020-06-25,137.73,"59,370,000",0.74%
2020-06-26,134.64,"130,020,000",-2.24%
2020-06-29,134.02,"84,470,000",-0.46%
2020-06-30,137.94,"75,390,000",2.92%
2020-07-01,143.94,"127,270,000",4.35%
2020-07-02,144.51,"131,870,000",0.40%
2020-07-06,152.85,"137,610,000",5.77%
2020-07-07,150.01,"105,150,000",-1.86%
2020-07-08,154.06,"100,750,000",2.70%
2020-07-09,159.13,"127,770,000",3.29%
2020-07-10,160,"109,720,000",0.55%
2020-07-13,155.2,"154,410,000",-3.00%
2020-07-14,154.2,"144,640,000",-0.64%
2020-07-15,150.44,"115,780,000",-2.44%
2020-07-16,150,"127,880,000",-0.29%
2020-07-17,148.1,"95,230,000",-1.27%
2020-07-20,159.84,"151,960,000",7.93%
2020-07-21,156.91,"122,700,000",-1.83%
2020-07-22,155,"82,080,000",-1.22%
2020-07-23,149.33,"113,140,000",-3.66%
2020-07-24,150.45,"112,650,000",0.75%
2020-07-27,152.76,"83,410,000",1.54%
2020-07-28,150.02,"62,530,000",-1.79%
2020-07-29,151.68,"59,480,000",1.11%
2020-07-30,152.59,"122,570,000",0.60%
2020-07-31,158.23,"161,670,000",3.70%
2020-08-03,155.59,"101,490,000",-1.67%
2020-08-04,156.94,"93,890,000",0.87%
2020-08-05,160.25,"78,600,000",2.11%
2020-08-06,161.25,"78,810,000",0.62%
2020-08-07,158.37,"78,720,000",-1.79%
2020-08-10,157.41,"63,350,000",-0.61%
2020-08-11,154.03,"74,360,000",-2.15%
2020-08-12,158.11,"70,540,000",2.65%
2020-08-13,158.05,"62,980,000",-0.04%
2020-08-14,157.4,"55,030,000",-0.41%
2020-08-17,159.12,"53,820,000",1.09%
2020-08-18,165.62,"106,920,000",4.08%
2020-08-19,163.02,"83,700,000",-1.57%
2020-08-20,164.87,"66,650,000",1.13%
2020-08-21,164.24,"71,520,000",-0.38%
2020-08-24,165.37,"93,330,000",0.69%
2020-08-25,167.32,"79,860,000",1.18%
2020-08-26,172.09,"130,170,000",2.85%
2020-08-27,170,"85,300,000",-1.21%
2020-08-28,170.09,"57,940,000",0.05%
