Date,AMZN_Close,Weekly_Return_Pct
2011-01-10,9.4375,1.7575083151517124
2011-01-17,8.871000289916992,-6.002645934654383
2011-01-24,8.557000160217285,-3.539624838662303
2011-01-31,8.796500205993652,2.79887859404091
2011-02-07,9.462499618530273,7.5711862324840284
2011-02-14,9.324999809265137,-1.453102402201134
2011-02-21,8.862000465393066,-4.965140518416344
2011-02-28,8.583499908447266,-3.1426375797809047
2011-03-07,8.403499603271484,-2.0970502370325383
2011-03-14,8.090999603271484,-3.7186888171963917
2011-03-21,8.548999786376953,5.660613095572065
2011-03-28,9.006500244140625,5.351508588088993
2011-04-04,9.23550033569336,2.5426090639559584
2011-04-11,9.000499725341797,-2.544535778352286
2011-04-18,9.294500350952148,3.2664922457867895
2011-04-25,9.790499687194824,5.336481978742036
2011-05-02,9.880000114440918,0.9141558664585103
2011-05-09,10.128000259399414,2.5101228956061483
2011-05-16,9.932499885559082,-1.9302959008013043
2011-05-23,9.706500053405762,-2.2753570073723584
2011-05-30,9.416000366210938,-2.99283661048243
2011-06-06,9.326499938964844,-0.9505142710833359
2011-06-13,9.318499565124512,-0.08578109572389137
2011-06-20,9.6274995803833,3.315984650739856
2011-06-27,10.474499702453613,8.79771653063619
2011-07-04,10.913999557495117,4.195903074383134
2011-07-11,10.643500328063965,-2.4784610628409753
2011-07-18,10.826000213623047,1.7146604024418588
2011-07-25,11.12600040435791,2.7711083023751915
2011-08-01,10.135000228881836,-8.907065786982283
2011-08-08,10.114999771118164,-0.19734047668471533
2011-08-15,8.946499824523926,-11.552150005289285
2011-08-22,9.963500022888184,11.367576351775943
2011-08-29,10.5,5.384653744962775
2011-09-05,10.569499969482422,0.6619044712611544
2011-09-12,11.96500015258789,13.20308611698502
2011-09-19,11.180500030517578,-6.556624421777668
2011-09-26,10.81149959564209,-3.300392950836617
2011-10-03,11.237000465393066,3.9356322958425505
2011-10-10,12.33549976348877,9.775734204859955
2011-10-17,11.73900032043457,-4.835632560423275
2011-10-24,10.866000175476074,-7.436750329061903
2011-10-31,10.824000358581543,-0.38652508941903196
2011-11-07,10.869500160217285,0.4203603116076149
2011-11-14,9.857000350952148,-9.315053998259437
2011-11-21,9.119999885559082,-7.4769244105979515
2011-11-28,9.80150032043457,7.472592581438509
2011-12-05,9.65149974822998,-1.5303837912637008
2011-12-12,9.062999725341797,-6.097498194476048
2011-12-19,8.86400032043457,-2.19573442500266
2011-12-26,8.654999732971191,-2.3578585278427933
2012-01-02,9.130499839782715,5.493935545718243
2012-01-09,8.920999526977539,-2.2945108863849595
2012-01-16,9.546500205993652,7.011553774042567
2012-01-23,9.768500328063965,2.3254608210339978
2012-01-30,9.383999824523926,-3.9361262284591025
2012-02-06,9.277000427246094,-1.1402323026285854
2012-02-13,9.125,-1.6384652392563814
