date,nasdaqndxt,vix,vxazn,vxn,vix3m,vix_term_spread,vxazn_vix_ratio,nasdaqndxt_lag1,nasdaqndxt_delta,vix_lag1,vix_delta,vxazn_lag1,vxazn_delta,vxn_lag1,vxn_delta,vix3m_lag1,vix3m_delta,amzn_return_lag1,aggregate_vol_index,amzn_close,amzn_next_return,label,score_range
2021-10-04,1166.7245,3.1840,4.9576,3.8441,3.3435,-0.1595,1.5571,1252.5186,-85.7941,2.6015,0.5824,3.8191,1.1385,3.0273,0.8168,2.9676,0.3758,0.0016,0.3063,164.4310,0.0366,Positive,3
2021-10-11,1189.0110,2.7735,4.7066,3.2575,3.1049,-0.3314,1.6970,1166.7245,22.2865,3.1840,-0.4105,4.9576,-0.2510,3.8441,-0.5866,3.3435,-0.2385,0.0366,0.2765,170.4510,-0.0216,Negative,1
2021-10-18,1250.9696,2.2618,3.9661,2.6113,2.8137,-0.5519,1.7535,1189.0110,61.9586,2.7735,-0.5117,4.7066,-0.7405,3.2575,-0.6462,3.1049,-0.2912,-0.0216,0.2349,166.7775,0.0111,Neutral,2
2021-10-25,1278.6658,2.1134,4.1505,2.6071,2.7125,-0.5991,1.9639,1250.9696,27.6962,2.2618,-0.1484,3.9661,0.1844,2.6113,-0.0042,2.8137,-0.1012,0.0111,0.2356,168.6215,0.0435,Positive,3
2021-11-01,1292.0327,2.2757,3.5140,2.7361,2.8276,-0.5519,1.5442,1278.6658,13.3669,2.1134,0.1622,4.1505,-0.6365,2.6071,0.1290,2.7125,0.1151,0.0435,0.2319,175.9495,0.0018,Neutral,2
2021-11-08,1355.1562,2.3880,3.7872,3.0342,2.9094,-0.5214,1.5859,1292.0327,63.1235,2.2757,0.1123,3.5140,0.2732,2.7361,0.2982,2.8276,0.0818,0.0018,0.2535,176.2575,0.0430,Positive,3
2021-11-15,1346.8398,2.2868,3.9730,3.0106,2.8941,-0.6074,1.7374,1355.1562,-8.3163,2.3880,-0.1012,3.7872,0.1858,3.0342,-0.0236,2.9094,-0.0153,0.0430,0.2539,183.8285,-0.0468,Negative,1
2021-11-22,1335.0580,2.6584,4.2962,3.2589,3.1382,-0.4798,1.6161,1346.8398,-11.7818,2.2868,0.3716,3.9730,0.3231,3.0106,0.2482,2.8941,0.2441,-0.0468,0.2786,175.2280,-0.0327,Negative,1
2021-11-29,1341.0917,3.1840,4.2379,3.4156,3.4724,-0.2884,1.3310,1335.0580,6.0338,2.6584,0.5256,4.2962,-0.0582,3.2589,0.1567,3.1382,0.3342,-0.0327,0.3001,169.4895,0.0161,Neutral,2
2021-12-06,1282.2256,3.7692,4.9562,4.1838,4.0049,-0.2357,1.3149,1341.0917,-58.8662,3.1840,0.5852,4.2379,0.7183,3.4156,0.7683,3.4724,0.5325,0.0161,0.3516,172.2120,-0.0127,Negative,1
2021-12-13,1299.9066,2.8165,3.9411,3.3337,3.3726,-0.5561,1.3993,1282.2256,17.6811,3.7692,-0.9527,4.9562,-1.0151,4.1838,-0.8501,4.0049,-0.6324,-0.0127,0.2788,170.0175,0.0062,Neutral,2
2021-12-20,1263.7790,3.1715,4.7260,3.8663,3.6485,-0.4770,1.4902,1299.9066,-36.1276,2.8165,0.3550,3.9411,0.7849,3.3337,0.5325,3.3726,0.2760,0.0062,0.3176,171.0685,-0.0254,Negative,1
2021-12-27,1354.1480,2.4518,4.2823,3.0120,3.1535,-0.7017,1.7466,1263.7790,90.3690,3.1715,-0.7197,4.7260,-0.4438,3.8663,-0.8542,3.6485,-0.4951,-0.0254,0.2711,166.7170,-0.0250,Negative,1
2022-01-03,1326.4851,2.3020,4.1103,2.9358,2.9857,-0.6837,1.7855,1354.1480,-27.6629,2.4518,-0.1498,4.2823,-0.1720,3.0120,-0.0763,3.1535,-0.1678,-0.0250,0.2563,162.5540,-0.0026,Neutral,2
2022-01-10,1246.8551,2.6903,4.7635,3.5820,3.1452,-0.4549,1.7706,1326.4851,-79.6300,2.3020,0.3883,4.1103,0.6532,2.9358,0.6462,2.9857,0.1595,-0.0026,0.2887,162.1380,-0.1202,Negative,1
2022-01-17,1245.7457,2.6612,4.6928,3.5667,3.1646,-0.5034,1.7634,1246.8551,-1.1094,2.6903,-0.0291,4.7635,-0.0707,3.5820,-0.0153,3.1452,0.0194,-0.1202,0.2867,142.6430,0.0094,Neutral,2
2022-01-24,1160.8017,4.1464,6.8117,4.9299,4.2740,-0.1276,1.6428,1245.7457,-84.9440,2.6612,1.4852,4.6928,2.1190,3.5667,1.3632,3.1646,1.1094,0.0094,0.4109,143.9780,0.0949,Positive,3
2022-01-31,1184.6871,3.4433,5.5304,4.1824,3.7234,-0.2801,1.6061,1160.8017,23.8854,4.1464,-0.7031,6.8117,-1.2814,4.9299,-0.7475,4.2740,-0.5505,0.0949,0.3420,157.6395,-0.0276,Negative,1
2022-02-07,1157.1213,3.1701,4.9354,4.1630,3.5626,-0.3925,1.5569,1184.6871,-27.5658,3.4433,-0.2732,5.5304,-0.5949,4.1824,-0.0194,3.7234,-0.1609,-0.0276,0.3170,153.2935,-0.0045,Neutral,2
2022-02-14,1142.1222,3.9287,5.2433,4.7247,4.0826,-0.1539,1.3346,1157.1213,-14.9991,3.1701,0.7586,4.9354,0.3079,4.1630,0.5616,3.5626,0.5200,-0.0045,0.3623,152.6015,0.0078,Neutral,2
2022-02-21,1107.3549,3.8482,5.2932,4.5832,4.0521,-0.2039,1.3755,1142.1222,-34.7672,3.9287,-0.0804,5.2433,0.0499,4.7247,-0.1414,4.0826,-0.0305,0.0078,0.3552,153.7885,-0.0530,Negative,1
2022-02-28,1147.8910,4.1811,5.1060,4.5374,4.1117,0.0693,1.2212,1107.3549,40.5361,3.8482,0.3328,5.2932,-0.1872,4.5832,-0.0458,4.0521,0.0596,-0.0530,0.3617,145.6410,-0.0008,Neutral,2
2022-03-07,1039.0145,5.0547,6.5732,5.3709,4.9562,0.0985,1.3004,1147.8910,-108.8766,4.1811,0.8737,5.1060,1.4672,4.5374,0.8334,4.1117,0.8445,-0.0008,0.4401,145.5245,0.1081,Positive,3
2022-03-14,997.4979,4.4057,6.0851,5.0686,4.6207,-0.2149,1.3812,1039.0145,-41.5165,5.0547,-0.6490,6.5732,-0.4881,5.3709,-0.3023,4.9562,-0.3356,0.1081,0.3985,161.2505,0.0218,Positive,3
2022-03-21,1128.4932,3.2630,4.8287,3.9744,3.6582,-0.3952,1.4798,997.4979,130.9952,4.4057,-1.1427,6.0851,-1.2564,5.0686,-1.0941,4.6207,-0.9624,0.0218,0.3127,164.7735,-0.0074,Neutral,2
2022-03-28,1169.4314,2.7222,4.7621,3.6790,3.3532,-0.6310,1.7494,1128.4932,40.9383,3.2630,-0.5408,4.8287,-0.0666,3.9744,-0.2954,3.6582,-0.3051,-0.0074,0.2901,163.5600,-0.0556,Negative,1
2022-04-04,1178.1167,2.5752,4.7884,3.4572,3.1937,-0.6185,1.8595,1169.4314,8.6852,2.7222,-0.1470,4.7621,0.0263,3.6790,-0.2219,3.3532,-0.1595,-0.0556,0.2798,154.4605,-0.0178,Negative,1
