date,amzn,amzn_volume,amzn_change_pct,ixic,ixic_volume,ixic_change_pct,nasdaqndxt,sp500_25,sp500_25_change_pct,spx,spx_change_pct,vixcls,vxazn,amzn_lag1,amzn_delta,amzn_volume_lag1,amzn_volume_delta,amzn_change_pct_lag1,amzn_change_pct_delta,ixic_lag1,ixic_delta,ixic_volume_lag1,ixic_volume_delta,ixic_change_pct_lag1,ixic_change_pct_delta,nasdaqndxt_lag1,nasdaqndxt_delta,sp500_25_lag1,sp500_25_delta,sp500_25_change_pct_lag1,sp500_25_change_pct_delta,spx_lag1,spx_delta,spx_change_pct_lag1,spx_change_pct_delta,vixcls_lag1,vixcls_delta,vxazn_lag1,vxazn_delta,amzn_next_return,stage1_significant,stage2_direction,label
2011-01-28,8.56,19.802716050662543,-7.16,2686.89,20.153097063365397,-2.48,1429.83,293.13,-3.15,1276.3,-1.79,20.04,34.2,9.22,-0.66,19.491887580355822,106410000.0,5.13,-12.29,2755.28,-68.39,19.993288685210782,83510000.0,0.58,-3.06,1465.94,-36.11,302.67,-9.54,0.77,-3.92,1299.5,-23.2,0.22,-2.01,16.15,3.89,42.47,-8.27,-0.0093,0,0,Neutral
2011-01-31,8.48,18.716554182869253,-0.93,2700.08,20.043311252146236,0.49,1436.04,293.42,0.1,1286.1,0.77,19.53,34.06,8.56,-0.08,19.802716050662543,-263870000.0,-7.16,6.23,2686.89,13.19,20.153097063365397,-58790000.0,-2.48,2.97,1429.83,6.21,293.13,0.29,-3.15,3.25,1276.3,9.8,-1.79,2.56,20.04,-0.51,34.2,-0.14,0.0153,1,1,Positive
2011-02-01,8.61,18.43842243525267,1.53,2751.19,20.07547436001858,1.89,1470.72,297.02,1.23,1307.6,1.67,17.63,31.66,8.48,0.13,18.716554182869253,-32640000.0,-0.93,2.46,2700.08,51.11,20.043311252146236,16560000.0,0.49,1.4,1436.04,34.68,293.42,3.6,0.1,1.13,1286.1,21.5,0.77,0.9,19.53,-1.9,34.06,-2.4,0.0081,0,1,Neutral
2011-02-02,8.68,18.32669969146686,0.81,2749.56,19.957139280051905,-0.06,1475.82,296.33,-0.23,1304.0,-0.28,17.3,30.6,8.61,0.07,18.43842243525267,-10760000.0,1.53,-0.72,2751.19,-1.63,20.07547436001858,-58390000.0,1.89,-1.95,1470.72,5.1,297.02,-0.69,1.23,-1.46,1307.6,-3.6,1.67,-1.95,17.63,-0.33,31.66,-1.06,0.0012,0,1,Neutral
2011-02-03,8.69,18.11456312292632,0.12,2753.88,20.006338129769194,0.16,1475.93,299.77,1.16,1307.1,0.24,16.69,30.97,8.68,0.01,18.32669969146686,-17400000.0,0.81,-0.69,2749.56,4.32,19.957139280051905,23440000.0,-0.06,0.22,1475.82,0.11,296.33,3.44,-0.23,1.39,1304.0,3.1,-0.28,0.52,17.3,-0.61,30.6,0.37,0.0127,0,1,Neutral
2011-02-04,8.8,18.28199323566612,1.27,2769.3,19.961818404269046,0.56,1491.67,301.75,0.66,1310.9,0.29,15.93,30.39,8.69,0.11,18.11456312292632,13420000.0,0.12,1.15,2753.88,15.42,20.006338129769194,-21260000.0,0.16,0.4,1475.93,15.74,299.77,1.98,1.16,-0.5,1307.1,3.8,0.24,0.05,16.69,-0.76,30.97,-0.58,0.0023,0,1,Neutral
2011-02-07,8.82,18.470708247064046,0.23,2783.99,19.847757101192585,0.53,1495.2,303.37,0.54,1319.0,0.62,16.28,30.37,8.8,0.02,18.28199323566612,18080000.0,1.27,-1.04,2769.3,14.69,19.961818404269046,-50340000.0,0.56,-0.03,1491.67,3.53,301.75,1.62,0.66,-0.12,1310.9,8.1,0.29,0.33,15.93,0.35,30.39,-0.02,0.0374,1,1,Positive
2011-02-08,9.15,18.865687033089266,3.74,2797.05,19.834784808142956,0.47,1497.94,306.96,1.18,1324.6,0.42,15.81,30.14,8.82,0.33,18.470708247064046,50920000.0,0.23,3.51,2783.99,13.06,19.847757101192585,-5370000.0,0.53,-0.06,1495.2,2.74,303.37,3.59,0.54,0.64,1319.0,5.6,0.62,-0.2,16.28,-0.47,30.37,-0.23,0.0131,0,1,Neutral
2011-02-09,9.27,18.929424207526537,1.31,2789.07,19.96074714393836,-0.29,1491.31,308.77,0.59,1320.9,-0.28,15.87,29.97,9.15,0.12,18.865687033089266,10270000.0,3.74,-2.43,2797.05,-7.98,19.834784808142956,55210000.0,0.47,-0.76,1497.94,-6.63,306.96,1.81,1.18,-0.59,1324.6,-3.7,0.42,-0.7,15.81,0.06,30.14,-0.17,0.0043,0,1,Neutral
2011-02-10,9.31,18.4850630122581,0.43,2790.45,20.215053463997542,0.05,1493.34,309.41,0.21,1321.9,0.08,16.09,30.74,9.27,0.04,18.929424207526537,-59670000.0,1.31,-0.88,2789.07,1.38,19.96074714393836,135080000.0,-0.29,0.34,1491.31,2.03,308.77,0.64,0.59,-0.38,1320.9,1.0,-0.28,0.36,15.87,0.22,29.97,0.77,0.0161,1,1,Positive
2011-02-11,9.46,18.314764529478104,1.61,2809.44,20.00356932320674,0.68,1502.15,312.34,0.95,1329.2,0.55,15.69,31.5,9.31,0.15,18.4850630122581,-16700000.0,0.43,1.18,2790.45,18.99,20.215053463997542,-114670000.0,0.05,0.63,1493.34,8.81,309.41,2.93,0.21,0.74,1321.9,7.3,0.08,0.47,16.09,-0.4,30.74,0.76,0.0063,0,1,Neutral
2011-02-14,9.52,18.215008685833663,0.63,2817.18,19.965900086192466,0.28,1510.1,311.08,-0.4,1332.3,0.23,15.95,32.69,9.46,0.06,18.314764529478104,-8540000.0,1.61,-0.98,2809.44,7.74,20.00356932320674,-18000000.0,0.68,-0.4,1502.15,7.95,312.34,-1.26,0.95,-1.35,1329.2,3.1,0.55,-0.32,15.69,0.26,31.5,1.19,-0.0074,0,0,Neutral
